Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,10,-,-,-,-,10,28.57
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,100,-,-,-,-,64,80.00
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,102,0,485,561,196,1242,53.26
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,103,0,457,453,219,1129,61.53
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,109,0,224,345,208,777,60.09
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,111,-,-,-,-,1274,64.08
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,112,0,50,81,63,194,67.13
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,113,0,160,88,219,467,63.80
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,114,0,295,263,84,642,50.47
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,184,0,409,399,166,974,58.29
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,2,0,117,82,156,355,48.23
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,3,-,-,-,-,499,38.38
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,4,0,136,185,269,590,54.93
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,5,0,214,231,282,727,47.24
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,6,0,150,157,127,434,39.42
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,67,0,122,118,104,344,41.05
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,68,0,0,0,0,0,0.00
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,7,0,294,201,308,803,62.30
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,8,0,183,142,159,484,61.34
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,9,0,335,396,392,1123,51.28
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,099,0,203,154,153,510,46.41
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,1,0,0,0,0,0,0.00
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,10,0,0,0,0,0,0.00
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,100,-,-,-,-,1,1.25
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,102,-,-,-,-,9,0.39
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,103,-,-,-,-,6,0.33
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,109,-,-,-,-,8,0.62
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,111,-,-,-,-,12,0.60
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,112,-,-,-,-,3,1.04
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,113,-,-,-,-,1,0.14
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,114,-,-,-,-,10,0.79
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,184,-,-,-,-,6,0.36
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,2,-,-,-,-,5,0.68
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,3,-,-,-,-,11,0.85
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,4,-,-,-,-,11,1.02
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,5,-,-,-,-,11,0.71
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,6,-,-,-,-,1,0.09
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,67,-,-,-,-,3,0.36
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,68,0,0,0,0,0,0.00
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,7,-,-,-,-,3,0.23
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,8,-,-,-,-,6,0.76
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,9,-,-,-,-,12,0.55
"REPRESENTATIVE IN CONGRESS, DIST. 23",Don Endriss,NPA,099,-,-,-,-,4,0.36
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,1,-,-,-,-,14,3.51
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,10,-,-,-,-,1,2.86
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,100,-,-,-,-,4,5.00
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,102,-,-,-,-,84,3.60
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,103,-,-,-,-,71,3.87
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,109,-,-,-,-,62,4.80
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,111,-,-,-,-,72,3.62
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,112,-,-,-,-,9,3.11
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,113,-,-,-,-,10,1.37
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,114,-,-,-,-,36,2.83
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,184,-,-,-,-,43,2.57
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,2,-,-,-,-,12,1.63
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,3,-,-,-,-,37,2.85
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,4,-,-,-,-,39,3.63
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,5,-,-,-,-,69,4.48
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,6,-,-,-,-,22,2.00
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,67,-,-,-,-,20,2.39
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,68,0,0,0,0,0,0.00
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,7,-,-,-,-,53,4.11
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,8,-,-,-,-,42,5.32
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,9,-,-,-,-,97,4.43
"REPRESENTATIVE IN CONGRESS, DIST. 23",Timothy A. 'Tim' Canova,NPA,099,-,-,-,-,23,2.09
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,100,-,-,-,-,242,21.90
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,281,0,0,0,0,0,0.00
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,284,0,113,55,113,281,51.94
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,285,-,-,-,-,43,51.81
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,288,-,-,-,-,1,50.00
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,289,-,-,-,-,22,62.86
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,297,0,346,310,229,885,62.86
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,298,0,217,190,383,790,55.95
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,299,0,191,159,184,534,63.20
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,300,0,240,270,155,665,46.31
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,301,0,197,222,280,699,70.46
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,302,0,222,230,250,702,67.56
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,304,0,196,177,148,521,40.54
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,305,0,341,492,280,1113,59.61
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,306,-,-,-,-,687,53.92
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,307,0,319,427,328,1074,68.89
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,308,0,201,232,170,603,64.49
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,309,0,361,239,310,910,65.23
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,310,0,385,243,267,895,72.00
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,311,-,-,-,-,1098,67.20
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,312,0,209,191,252,652,63.36
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,314,-,-,-,-,83,75.45
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,315,0,357,201,257,815,72.51
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,316,0,237,183,277,697,73.83
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,317,0,300,154,215,669,78.43
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,318,0,508,390,337,1235,73.08
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,319,0,224,147,209,580,75.72
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,320,0,467,303,316,1086,70.52
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,321,0,410,292,396,1098,61.44
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,322,0,212,178,153,543,49.82
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,323,-,-,-,-,677,66.77
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,324,0,232,127,214,573,66.78
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,325,0,209,192,128,529,77.11
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,326,0,215,141,159,515,75.85
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,327,0,267,164,254,685,57.66
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,328,0,479,367,237,1083,71.67
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,329,-,-,-,-,2,13.33
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,330,0,437,339,255,1031,64.36
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,331,0,515,455,233,1203,73.76
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,332,0,234,205,151,590,63.92
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,333,0,252,114,178,544,70.47
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,334,-,-,-,-,44,58.67
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,335,0,242,109,118,469,58.48
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,336,0,124,56,77,257,67.63
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,337,0,453,272,304,1029,68.01
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,338,0,249,114,109,472,69.51
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,339,0,539,263,324,1126,69.85
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,340,0,601,316,354,1271,62.37
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,341,-,-,-,-,2,28.57
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,342,0,275,129,204,608,65.73
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,343,0,276,309,353,938,56.10
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,344,0,228,194,377,799,56.19
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,345,-,-,-,-,2,100.00
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,346,-,-,-,-,761,58.67
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,347,0,140,113,174,427,51.51
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,348,0,120,34,163,317,73.38
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,349,0,286,159,244,689,61.52
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,352,0,534,753,339,1626,70.18
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,353,0,346,273,238,857,61.17
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,354,0,226,137,146,509,76.08
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,357,0,237,182,239,658,70.07
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,358,0,245,147,187,579,65.28
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,359,0,217,137,237,591,59.10
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,360,-,-,-,-,1286,63.10
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,362,0,309,197,184,690,69.63
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,363,0,380,355,423,1158,53.64
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,364,-,-,-,-,1043,53.35
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,365,0,215,264,218,697,41.10
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,366,0,223,229,356,808,47.42
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,367,0,206,198,282,686,49.42
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,368,0,429,316,476,1221,68.37
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,369,-,-,-,-,20,90.91
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,370,0,139,206,157,502,40.71
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,371,0,546,403,225,1174,50.04
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,372,0,185,141,91,417,60.70
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,373,0,0,0,0,0,0.00
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,374,0,0,0,0,0,0.00
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,375,0,186,85,141,412,73.31
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,377,0,509,275,332,1116,72.19
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,378,0,149,104,90,343,68.06
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,379,0,404,269,272,945,69.79
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,381,0,261,142,170,573,69.62
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,382,0,235,163,183,581,69.75
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,383,0,0,0,0,0,0.00
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,384,0,404,209,268,881,63.43
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,385,0,503,563,421,1487,68.12
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,386,0,362,181,168,711,66.20
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,387,0,195,116,198,509,55.03
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,388,0,483,249,345,1077,61.26
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,389,0,486,468,280,1234,63.58
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,390,0,583,715,357,1655,73.92
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,394,0,0,0,0,0,0.00
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,395,0,0,0,0,0,0.00
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,396,0,348,261,130,739,58.23
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,400,0,0,0,0,0,0.00
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,401,0,142,138,107,387,45.96
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,403,0,161,125,67,353,51.01
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,405,0,398,238,122,758,64.24
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,406,0,357,229,147,733,53.04
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,407,0,274,205,178,657,67.87
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,408,0,157,124,146,427,44.90
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,409,-,-,-,-,602,53.51
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,410,0,359,168,250,777,61.62
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,411,0,199,166,148,513,46.38
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,412,0,431,356,271,1058,74.40
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,424,0,84,37,32,153,72.17
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,442,0,221,156,125,502,66.05
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,443,0,250,183,187,620,51.32
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,445,-,-,-,-,1,100.00
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,446,-,-,-,-,2,50.00
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,447,0,272,268,165,705,49.96
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,448,0,252,245,204,701,53.72
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,450,0,231,197,164,592,45.43
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,452,0,211,217,196,624,41.85
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,453,-,-,-,-,7,25.00
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,454,0,164,152,123,439,42.25
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,455,0,299,214,161,674,54.22
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,456,0,0,0,0,0,0.00
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,460,-,-,-,-,20,71.43
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,462,0,255,306,341,902,44.48
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,463,0,0,0,0,0,0.00
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,464,0,247,105,167,519,73.10
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,468,0,142,132,102,376,41.23
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,470,0,216,209,123,548,46.44
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,472,0,417,239,178,834,72.58
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,487,-,-,-,-,14,53.85
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,488,0,432,235,252,919,54.77
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,500,0,270,191,178,639,75.44
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,550,-,-,-,-,18,62.07
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,554,0,317,173,121,611,65.49
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,588,0,0,0,0,0,0.00
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,965,0,291,375,365,1031,39.67
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,991,0,190,103,101,394,68.17
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mario Diaz-Balart,REP,992,-,-,-,-,85,75.89
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mary Barzee Flores,DEM,100,0,833,30,0,863,78.10
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mary Barzee Flores,DEM,281,0,0,0,0,0,0.00
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mary Barzee Flores,DEM,284,0,74,47,139,260,48.06
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mary Barzee Flores,DEM,285,-,-,-,-,40,48.19
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mary Barzee Flores,DEM,288,-,-,-,-,1,50.00
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mary Barzee Flores,DEM,289,-,-,-,-,13,37.14
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mary Barzee Flores,DEM,297,0,158,187,178,523,37.14
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mary Barzee Flores,DEM,298,0,185,178,259,622,44.05
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mary Barzee Flores,DEM,299,0,101,85,125,311,36.80
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mary Barzee Flores,DEM,300,0,245,290,236,771,53.69
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mary Barzee Flores,DEM,301,0,75,96,122,293,29.54
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mary Barzee Flores,DEM,302,0,106,106,125,337,32.44
"REPRESENTATIVE IN CONGRESS, DIST. 25",Mary Barzee Flores,DEM,304,0,232,307,225,764,59.46
